links,product_name,product_brand,product_type,product_rating,product_price,image_link
/scanfrost-sfcp3000dff-citrus-juicer.-26777749.html,Scanfrost SFCP3000DFF - CITRUS JUICER.,Scanfrost,Citrus Juicers,3.8,"₦ 4,760",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/777762/1.jpg?3672
/nexus-nx-65-65-litres-fridge-with-bar-33169253.html,Nexus NX-65 (65 Litres) Fridge With Bar,Nexus,Bar Refrigeration,4.1,"₦ 38,490",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/296133/1.jpg?3176
/spice-bedsheets-soft-bed-sheet-4-pillow-cases-39129378.html,Spice Bedsheets Soft Bed Sheet +4 Pillow Case(s),Spice Bedsheets,Bedspread & Coverlet Sets,,"₦ 4,900 - ₦ 5,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/87/392193/1.jpg?7789
/fx-991ms-scientific-calculator-generic-mpg339871.html,FX -991MS Scientific Calculator,,Scientific,5,"₦ 2,700",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/727553/1.jpg?1547
/buxmaco-quality-baby-wardrobe-63474597.html,Buxmaco Quality Baby Wardrobe,Buxmaco,Hanging Shoe Organizers,5,"₦ 7,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/79/547436/1.jpg?8385
/3d-star-glow-in-dark-illuminious-wall-decoration-sticker-100pcs-generic-mpg1243815.html,3D Star Glow In Dark Illuminious Wall Decoration Sticker - 100pcs,,Wall Stickers,3.3,"₦ 1,350",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/35/038164/1.jpg?0418
/christmas-white-christmas-tree-5ft-67307178.html,Christmas White Christmas Tree - 5FT,Christmas,Trees,,"₦ 13,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/87/170376/1.jpg?2792
/techlum-aluminium-cooking-pot-set-of-6-16182022-2426-21827510.html,,,Cookware,,,
/generic-3x5ft-white-photography-background-for-backdrop-photo-props-23908451.html,3x5FT  White Photography Background For Backdrop Photo Props,,Wallpaper,3.2,"₦ 1,990",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/480932/1.jpg?9544
/suoer-home-tools-set-32-in-1-magnetic-precision-screwdriver-kit-66941151.html,SUOER Home Tools Set 32 In 1 Magnetic Precision Screwdriver Kit,SUOER,Screwdriver Sets,5,"₦ 2,350",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/15/114966/1.jpg?4930
